file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,14480,429,14909,0.0019548,0.00023595000000000004,0.00219075,discount
00265021-2808-3df0-d2f8-beb1ed0a1f60,14404,465,14869,0.0019445400000000002,0.00025575,0.00220029,discount
0034c25a-83aa-3fea-9996-6ddabb7e262d,14360,387,14747,0.0019386,0.00021285,0.00215145,discount
00522cbc-33d7-7a65-a2e3-7c919b45266a,14598,398,14996,0.00197073,0.00021890000000000004,0.00218963,discount
007f6e1d-cd69-45f7-724c-c3aac0443c6f,14406,628,15034,0.0019448100000000002,0.0003454,0.00229021,discount
01106555-3417-b4e5-d829-980b957baa25,13844,392,14236,0.0018689400000000001,0.0002156,0.00208454,discount
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,14203,418,14621,0.0019174050000000003,0.00022990000000000003,0.0021473050000000004,discount
0152dfec-aaad-19aa-805c-537750ee0e61,14147,469,14616,0.001909845,0.00025795,0.002167795,discount
015715ac-bdac-be5e-87fa-deea8613adad,14638,429,15067,0.00197613,0.00023595000000000004,0.00221208,discount
015751f2-add7-cc5c-49e6-32fb75075388,14439,491,14930,0.0019492650000000002,0.00027005000000000003,0.0022193150000000003,discount
016171e8-feb5-6feb-7de9-113b42fd8059,13704,409,14113,0.00185004,0.00022495000000000002,0.00207499,discount
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,13987,370,14357,0.001888245,0.0002035,0.002091745,discount
017e1a20-de40-e827-9aa8-317fada56bf5,14356,530,14886,0.0019380600000000001,0.00029150000000000004,0.0022295600000000002,discount
018c735b-278a-7f93-7778-c90859b2b10d,14124,488,14612,0.00190674,0.0002684,0.00217514,discount
018e29cd-2942-8472-37a7-a1a5b7d1c009,13852,433,14285,0.00187002,0.00023815000000000002,0.00210817,discount
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,13691,447,14138,0.001848285,0.00024585000000000004,0.002094135,discount
019c6ed6-05b2-b831-a98b-de1379260fc4,14151,381,14532,0.0019103850000000001,0.00020955000000000002,0.0021199350000000003,discount
01c660b6-378f-2f00-bdd3-97ac200c19e1,14567,515,15082,0.001966545,0.00028325000000000003,0.002249795,discount
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,14141,367,14508,0.0019090350000000003,0.00020185,0.0021108850000000003,discount
01e8b747-4832-fc9a-9859-46162eb14ecc,14352,459,14811,0.00193752,0.00025245000000000004,0.0021899700000000003,discount
01f84c6c-f978-eb52-6e97-052a5227e394,14494,492,14986,0.00195669,0.0002706,0.0022272900000000003,discount
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,14776,505,15281,0.00199476,0.00027775000000000006,0.00227251,discount
021cde41-0a9e-2efb-2704-b1d077d9d7cc,14820,486,15306,0.0020007000000000002,0.0002673,0.002268,discount
0249e048-a83d-c30b-358f-6f90ea73f7e6,14113,381,14494,0.0019052550000000002,0.00020955000000000002,0.0021148050000000004,discount
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,14780,385,15165,0.0019953,0.00021175,0.0022070500000000003,discount
02ca2334-e1ac-7278-c624-1dd7bfc3194f,14050,445,14495,0.0018967500000000002,0.00024475,0.0021415,discount
02cd1061-eaad-0cdd-191f-5f03592e4442,14187,570,14757,0.001915245,0.00031350000000000003,0.0022287450000000003,discount
02d0c54c-8ba2-b7a8-c907-44f385d21df2,13987,463,14450,0.001888245,0.00025465,0.002142895,discount
02e21285-0787-5bf1-29be-86e5bf2ad4ce,14060,444,14504,0.0018981,0.0002442,0.0021423,discount
02e3cde9-6885-6c80-2aac-028c785a12fe,14881,622,15503,0.0020089350000000003,0.0003421000000000001,0.0023510350000000005,discount
02ee1567-eb43-daae-dc2f-74f3daf2f721,14947,516,15463,0.0020178450000000003,0.0002838,0.002301645,discount
038548e6-9c0c-76f5-6de0-e2cac5b96366,14060,396,14456,0.0018981,0.0002178,0.0021159,discount
03cc80a6-a1b2-2eaa-a6ff-898a735486d3,14407,438,14845,0.001944945,0.00024090000000000003,0.002185845,discount
03d33abb-a028-b6c4-a29d-e9c59b6718c5,5668,790,6458,0.0007651800000000001,0.00043450000000000004,0.00119968,discount
03de0a10-b3df-0237-a7a5-852ae5a23caf,13772,498,14270,0.00185922,0.0002739,0.00213312,discount
0414da66-f466-3b00-8b0b-1bbebe08a2ca,14195,424,14619,0.001916325,0.00023320000000000003,0.0021495250000000002,discount
04556e68-aaa3-a782-e9dc-221d069b3c90,13702,408,14110,0.0018497700000000001,0.0002244,0.00207417,discount
04644147-aac4-2166-b8e1-29587682fc64,13866,390,14256,0.00187191,0.0002145,0.00208641,discount
046fcd1c-4cca-a5b8-bddc-3ed2636e9d3f,14285,506,14791,0.0019284750000000002,0.00027830000000000004,0.0022067750000000002,discount
0489c074-2508-fbe1-cf92-e212ab4a67b5,14130,422,14552,0.00190755,0.00023210000000000003,0.00213965,discount
04b71f88-3312-72db-5029-1d159876130d,14266,442,14708,0.00192591,0.00024310000000000003,0.0021690100000000003,discount
04bab739-5cff-b2cc-9de6-f0acbd0625a3,13868,411,14279,0.0018721800000000002,0.00022605000000000002,0.0020982300000000004,discount
04efa3fb-0160-33c9-9968-af7e1145131f,4545,450,4995,0.0006135750000000001,0.0002475,0.0008610750000000001,discount
0562f566-392d-7e87-941d-1e697b02d209,14120,414,14534,0.0019062000000000003,0.0002277,0.0021339,discount
05685b16-5165-9f26-8495-84622cbf011c,14093,422,14515,0.001902555,0.00023210000000000003,0.002134655,discount
05737984-7efc-9081-6f44-f331997f514b,14045,531,14576,0.001896075,0.00029205,0.002188125,discount
057609a1-5593-cf51-2994-4586c346fc02,14337,686,15023,0.0019354950000000002,0.0003773,0.0023127950000000003,discount
059835b6-f89c-9cd8-6204-74e968d2f45e,13978,417,14395,0.0018870300000000003,0.00022935000000000002,0.00211638,discount
05df9eb7-cfa3-8dfe-a526-68756db0226e,14279,442,14721,0.001927665,0.00024310000000000003,0.0021707650000000003,discount
