file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,4455,413,4868,0.000891,0.0003304,0.0012214,discount
00265021-2808-3df0-d2f8-beb1ed0a1f60,4444,484,4928,0.0008888,0.00038720000000000003,0.001276,discount
0034c25a-83aa-3fea-9996-6ddabb7e262d,4389,443,4832,0.0008778,0.0003544,0.0012322,discount
00522cbc-33d7-7a65-a2e3-7c919b45266a,4539,450,4989,0.0009078,0.00036,0.0012678,discount
007f6e1d-cd69-45f7-724c-c3aac0443c6f,4397,653,5050,0.0008794,0.0005224,0.0014018,discount
01106555-3417-b4e5-d829-980b957baa25,3991,434,4425,0.0007982,0.0003472,0.0011454,discount
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,4228,417,4645,0.0008456000000000001,0.00033360000000000003,0.0011792,discount
0152dfec-aaad-19aa-805c-537750ee0e61,4225,449,4674,0.0008449999999999999,0.00035920000000000006,0.0012041999999999999,discount
015715ac-bdac-be5e-87fa-deea8613adad,4651,531,5182,0.0009302,0.0004248,0.0013549999999999999,discount
015751f2-add7-cc5c-49e6-32fb75075388,4449,471,4920,0.0008898,0.00037680000000000005,0.0012666,discount
016171e8-feb5-6feb-7de9-113b42fd8059,3865,433,4298,0.000773,0.0003464,0.0011194,discount
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,4158,429,4587,0.0008316,0.00034320000000000005,0.0011748000000000001,discount
017e1a20-de40-e827-9aa8-317fada56bf5,4472,737,5209,0.0008944000000000001,0.0005896,0.001484,discount
018c735b-278a-7f93-7778-c90859b2b10d,4227,418,4645,0.0008454000000000001,0.00033440000000000005,0.0011798000000000002,discount
018e29cd-2942-8472-37a7-a1a5b7d1c009,3989,417,4406,0.0007978000000000001,0.00033360000000000003,0.0011314,discount
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,3899,477,4376,0.0007798000000000001,0.0003816,0.0011614000000000001,discount
019c6ed6-05b2-b831-a98b-de1379260fc4,4246,441,4687,0.0008492,0.0003528,0.001202,discount
01c660b6-378f-2f00-bdd3-97ac200c19e1,4611,610,5221,0.0009222,0.000488,0.0014102,discount
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,4312,494,4806,0.0008624,0.0003952,0.0012576,discount
01e8b747-4832-fc9a-9859-46162eb14ecc,4319,417,4736,0.0008638000000000001,0.00033360000000000003,0.0011974000000000002,discount
01f84c6c-f978-eb52-6e97-052a5227e394,4479,440,4919,0.0008958000000000001,0.00035200000000000005,0.0012478,discount
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,4795,405,5200,0.000959,0.000324,0.001283,discount
021cde41-0a9e-2efb-2704-b1d077d9d7cc,4762,484,5246,0.0009524,0.00038720000000000003,0.0013396,discount
0249e048-a83d-c30b-358f-6f90ea73f7e6,4170,448,4618,0.0008340000000000001,0.00035840000000000004,0.0011924000000000001,discount
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,4785,442,5227,0.0009570000000000001,0.00035360000000000003,0.0013106,discount
02ca2334-e1ac-7278-c624-1dd7bfc3194f,4149,534,4683,0.0008298,0.0004272,0.0012569999999999999,discount
02cd1061-eaad-0cdd-191f-5f03592e4442,4263,473,4736,0.0008526000000000001,0.00037840000000000004,0.001231,discount
02d0c54c-8ba2-b7a8-c907-44f385d21df2,4100,428,4528,0.0008200000000000001,0.00034240000000000003,0.0011624,discount
02e21285-0787-5bf1-29be-86e5bf2ad4ce,4141,427,4568,0.0008282,0.00034160000000000006,0.0011698,discount
02e3cde9-6885-6c80-2aac-028c785a12fe,4800,626,5426,0.0009599999999999999,0.0005008,0.0014608,discount
02ee1567-eb43-daae-dc2f-74f3daf2f721,4935,603,5538,0.000987,0.0004824,0.0014694,discount
038548e6-9c0c-76f5-6de0-e2cac5b96366,4153,514,4667,0.0008305999999999999,0.0004112,0.0012418,discount
